id_client,age,sexe,zone,situation_matrimoniale,niveau_education,nombre_personnes_a_charge,secteur_activite,anciennete_activite_annees,revenu_mensuel_fcfa,charges_mensuelles_fcfa,anciennete_cooperative_mois,membre_groupe_solidaire,epargne_solde_moyen_fcfa,regularite_epargne,nombre_credits_anterieurs,taux_remboursement_historique_pct,jours_retard_moyen_historique,possede_mobile_money,frequence_transactions_mm_mois,interroge_bic,statut_bic,nombre_prets_actifs_autres_institutions,encours_credit_autres_institutions_fcfa,objet_credit,montant_credit_demande_fcfa,duree_credit_mois,garantie,ratio_endettement,defaut_credit
CSWA-00011,43,Homme,Semi-urbaine,Célibataire,Secondaire,2,Elevage,11.8,71000,30000,121,1,11500,Régulière,2,90.2,12.0,1,9,1,Jamais emprunté ailleurs,0,0,Equipement/Matériel,71000,6,Bien matériel,0.61,0
CSWA-00012,64,Homme,Rurale,Marié(e),Primaire,4,Salarié secteur formel,3.0,171000,108000,159,1,161300,Irrégulière,2,60.1,0.0,1,9,1,Bon payeur ailleurs (solde sans incident),0,0,Santé,450000,6,Caution solidaire,1.12,0
CSWA-00013,53,Homme,Urbaine,Marié(e),Secondaire,1,Commerce informel,2.8,62000,25000,178,0,10800,Irrégulière,2,67.0,1.0,1,5,1,Incident de paiement signale ailleurs,0,0,Elevage,70000,18,Aucune,0.47,0
CSWA-00014,54,Femme,Rurale,Marié(e),Supérieur,1,Restauration/Transformation,9.5,175000,147000,120,0,314300,Régulière,1,85.8,1.0,1,6,1,Incident de paiement signale ailleurs,0,0,Elevage,764000,9,Bien matériel,1.38,1
CSWA-00015,52,Homme,Urbaine,Veuf(ve),Secondaire,3,Salarié secteur formel,0.4,154000,78000,133,1,267900,Régulière,2,94.9,9.0,1,10,1,Jamais emprunté ailleurs,0,0,Fonds de commerce,402000,12,Aucune,0.75,0
CSWA-00016,55,Femme,Urbaine,Marié(e),Primaire,4,Transport,6.1,102000,82000,23,0,30100,Régulière,3,74.2,4.0,1,13,1,Bon payeur ailleurs (solde sans incident),0,0,Education,88000,9,Aucune,0.91,1
CSWA-00017,43,Homme,Urbaine,Célibataire,Primaire,5,Fonctionnaire,4.1,95000,51000,114,0,36400,Régulière,2,73.3,1.0,1,11,1,Jamais emprunté ailleurs,0,0,Habitat/Réparation,287000,6,Caution solidaire,1.1,0
CSWA-00018,25,Homme,Semi-urbaine,Célibataire,Aucun,4,Transport,4.8,131000,101000,97,1,110200,Régulière,4,76.9,1.0,1,7,1,Bon payeur ailleurs (solde sans incident),0,0,Evénement social,579000,3,Aucune,2.42,0
CSWA-00019,58,Femme,Rurale,Marié(e),Primaire,7,Elevage,3.0,87000,64000,176,1,200000,Aucune épargne,1,89.7,0.0,1,8,1,Jamais emprunté ailleurs,0,0,Santé,83000,12,Caution solidaire,0.82,0
CSWA-00020,40,Homme,Semi-urbaine,Célibataire,Secondaire,3,Elevage,3.6,62000,29000,113,1,41300,Régulière,3,80.9,1.0,1,4,0,Non consulté,0,0,Education,151000,12,Aucune,0.7,0
CSWA-00021,42,Femme,Semi-urbaine,Marié(e),Secondaire,4,Commerce informel,1.3,65000,44000,144,1,7900,Irrégulière,4,60.9,26.0,0,0,1,Jamais emprunté ailleurs,0,0,Education,52000,18,Aval d'un tiers,0.73,0
CSWA-00022,36,Homme,Semi-urbaine,Marié(e),Aucun,1,Commerce informel,8.8,100000,47000,146,1,94900,Régulière,2,96.9,5.0,1,7,1,Pret en cours ailleurs,1,108000,Equipement/Matériel,378000,24,Caution solidaire,0.74,0
CSWA-00023,27,Homme,Urbaine,Marié(e),Secondaire,5,Artisanat,4.5,66000,24000,22,0,19500,Régulière,0,,,1,11,1,Bon payeur ailleurs (solde sans incident),0,0,Equipement/Matériel,208000,6,Aucune,0.95,1
CSWA-00024,62,Homme,Semi-urbaine,Divorcé(e),Primaire,3,Commerce informel,9.9,35000,18000,102,0,7000,Irrégulière,1,97.5,10.0,1,10,1,Jamais emprunté ailleurs,0,0,Fonds de commerce,42000,9,Bien matériel,0.66,0
CSWA-00025,55,Femme,Semi-urbaine,Marié(e),Primaire,6,Agriculture,17.5,66000,47000,161,0,17200,Aucune épargne,2,91.0,1.0,0,0,1,Bon payeur ailleurs (solde sans incident),0,0,Fonds de commerce,111000,9,Caution solidaire,0.92,0
CSWA-00026,49,Homme,Semi-urbaine,Marié(e),Primaire,1,Transport,2.5,142000,62000,62,0,80200,Régulière,5,98.7,2.0,1,12,1,Bon payeur ailleurs (solde sans incident),0,0,Elevage,517000,18,Caution solidaire,0.66,0
CSWA-00027,37,Femme,Urbaine,Veuf(ve),Primaire,1,Commerce informel,7.8,20000,13000,142,0,10400,Irrégulière,2,89.7,18.0,0,0,1,Jamais emprunté ailleurs,0,0,Elevage,31000,12,Caution solidaire,0.8,1
CSWA-00028,57,Homme,Urbaine,Marié(e),Secondaire,4,Commerce informel,2.7,175000,128000,180,0,190100,Irrégulière,2,96.5,9.0,1,12,1,Incident de paiement signale ailleurs,0,0,Intrants agricoles,572000,9,Aval d'un tiers,1.14,1
CSWA-00029,44,Femme,Semi-urbaine,Veuf(ve),Secondaire,3,Restauration/Transformation,3.3,111000,56000,176,1,120900,Irrégulière,0,,,0,0,1,Jamais emprunté ailleurs,0,0,Habitat/Réparation,317000,24,Caution solidaire,0.64,1
CSWA-00030,39,Femme,Urbaine,Célibataire,Secondaire,4,Commerce informel,5.1,71000,28000,47,1,35400,Irrégulière,1,94.0,2.0,1,6,1,Bon payeur ailleurs (solde sans incident),0,0,Equipement/Matériel,130000,9,Aucune,0.62,0
CSWA-00031,40,Homme,Urbaine,Marié(e),Primaire,3,Elevage,15.9,95000,62000,59,0,4200,Aucune épargne,1,89.6,11.0,0,0,1,Jamais emprunté ailleurs,0,0,Intrants agricoles,474000,12,Caution solidaire,1.12,0
CSWA-00032,29,Femme,Rurale,Célibataire,Secondaire,4,Commerce informel,4.3,137000,57000,174,0,238400,Régulière,0,,,1,16,1,Pret en cours ailleurs,3,192000,Elevage,470000,6,Bien matériel,1.18,0
CSWA-00033,23,Homme,Urbaine,Célibataire,Aucun,2,Transport,5.0,82000,29000,72,1,44400,Irrégulière,1,86.3,4.0,1,8,1,Jamais emprunté ailleurs,0,0,Intrants agricoles,417000,6,Caution solidaire,1.3,0
CSWA-00034,45,Femme,Urbaine,Marié(e),Primaire,7,Artisanat,6.1,136000,56000,38,0,40600,Aucune épargne,2,89.0,11.0,1,6,1,Bon payeur ailleurs (solde sans incident),0,0,Education,186000,12,Bien matériel,0.54,0
CSWA-00035,60,Homme,Semi-urbaine,Divorcé(e),Primaire,1,Artisanat,4.9,129000,62000,111,0,153300,Régulière,2,76.0,5.0,1,7,1,Jamais emprunté ailleurs,0,0,Intrants agricoles,106000,12,Aval d'un tiers,0.56,0
CSWA-00036,21,Femme,Semi-urbaine,Veuf(ve),Secondaire,5,Commerce informel,2.5,89000,61000,94,1,81500,Irrégulière,2,96.9,5.0,0,0,1,Bon payeur ailleurs (solde sans incident),0,0,Santé,434000,18,Caution solidaire,0.99,0
CSWA-00037,59,Femme,Semi-urbaine,Veuf(ve),Supérieur,5,Restauration/Transformation,10.4,44000,23000,1,1,4100,Irrégulière,1,80.1,0.0,0,0,0,Non consulté,0,0,Intrants agricoles,140000,12,Aucune,0.82,0
CSWA-00038,57,Homme,Urbaine,Célibataire,Primaire,9,Agriculture,4.0,77000,62000,20,0,7300,Régulière,4,73.8,3.0,1,9,1,Incident de paiement signale ailleurs,0,0,Fonds de commerce,281000,3,Bien matériel,2.17,0
CSWA-00039,32,Femme,Urbaine,Marié(e),Secondaire,0,Artisanat,1.9,26000,19000,112,0,37400,Régulière,1,92.6,2.0,1,7,1,Jamais emprunté ailleurs,0,0,Equipement/Matériel,39000,12,Aucune,0.87,0
CSWA-00040,48,Femme,Rurale,Marié(e),Primaire,4,Commerce informel,6.4,103000,87000,161,1,155300,Aucune épargne,1,97.0,5.0,1,8,1,Pret en cours ailleurs,1,437000,Elevage,340000,36,Aucune,1.33,0
CSWA-00041,26,Homme,Rurale,Marié(e),Primaire,3,Commerce informel,10.8,64000,44000,118,0,53500,Irrégulière,3,72.7,4.0,1,4,1,Jamais emprunté ailleurs,0,0,Fonds de commerce,223000,6,Bien matériel,1.34,0
CSWA-00042,54,Femme,Urbaine,Marié(e),Secondaire,5,Commerce informel,3.0,58000,21000,89,1,39700,Régulière,1,72.8,8.0,1,7,1,Jamais emprunté ailleurs,0,0,Fonds de commerce,281000,6,Caution solidaire,1.27,0
CSWA-00043,51,Femme,Semi-urbaine,Célibataire,Secondaire,2,Commerce informel,4.5,116000,49000,180,0,82000,Aucune épargne,1,64.9,2.0,1,8,1,Pret en cours ailleurs,1,140000,Equipement/Matériel,483000,9,Caution solidaire,1.05,0
CSWA-00044,35,Femme,Semi-urbaine,Célibataire,Secondaire,1,Commerce informel,5.2,40000,19000,160,0,76100,Régulière,0,,,1,4,1,Jamais emprunté ailleurs,0,0,Equipement/Matériel,65000,12,Caution solidaire,0.63,0
CSWA-00045,22,Femme,Rurale,Marié(e),Secondaire,2,Commerce informel,3.8,86000,60000,68,1,25800,Régulière,1,46.6,8.0,1,6,1,Pret en cours ailleurs,1,92000,Fonds de commerce,217000,18,Aucune,0.95,0
CSWA-00046,64,Homme,Rurale,Marié(e),Aucun,3,Salarié secteur formel,5.3,173000,116000,149,0,227700,Régulière,2,70.8,1.0,0,0,0,Non consulté,0,0,Intrants agricoles,775000,9,Caution solidaire,1.23,0
CSWA-00047,39,Femme,Rurale,Célibataire,Supérieur,0,Artisanat,13.2,73000,33000,163,0,166900,Aucune épargne,0,,,1,9,1,Bon payeur ailleurs (solde sans incident),0,0,Equipement/Matériel,313000,18,Bien matériel,0.72,0
CSWA-00048,60,Femme,Urbaine,Marié(e),Supérieur,3,Artisanat,5.4,95000,66000,35,1,28000,Régulière,1,75.3,3.0,0,0,1,Jamais emprunté ailleurs,0,0,Equipement/Matériel,408000,18,Bien matériel,0.96,0
CSWA-00049,50,Homme,Urbaine,Divorcé(e),Primaire,0,Commerce informel,7.3,220000,108000,113,1,22200,Aucune épargne,1,83.7,4.0,1,9,1,Jamais emprunté ailleurs,0,0,Habitat/Réparation,955000,12,Caution solidaire,0.9,0
CSWA-00050,55,Homme,Rurale,Célibataire,Aucun,2,Commerce informel,4.1,101000,69000,11,0,16100,Aucune épargne,2,69.7,4.0,1,7,1,Jamais emprunté ailleurs,0,0,Fonds de commerce,117000,36,Caution solidaire,0.72,0
CSWA-00051,54,Femme,Rurale,Marié(e),Primaire,4,Autre service,6.3,171000,86000,101,0,148700,Régulière,3,66.8,7.0,1,9,1,Bon payeur ailleurs (solde sans incident),0,0,Habitat/Réparation,242000,6,Aucune,0.77,0
CSWA-00052,28,Homme,Rurale,Marié(e),Secondaire,4,Commerce informel,6.8,174000,79000,166,0,86800,Irrégulière,1,74.7,2.0,1,12,1,Bon payeur ailleurs (solde sans incident),0,0,Equipement/Matériel,883000,12,Caution solidaire,0.93,0
CSWA-00053,36,Femme,Semi-urbaine,Célibataire,Supérieur,3,Salarié secteur formel,8.5,168000,100000,162,1,207400,Irrégulière,0,,,1,7,0,Non consulté,0,0,Fonds de commerce,610000,12,Bien matériel,0.93,0
CSWA-00054,40,Femme,Urbaine,Marié(e),Secondaire,1,Restauration/Transformation,3.9,29000,24000,102,0,17000,Irrégulière,0,,,1,6,1,Jamais emprunté ailleurs,0,0,Intrants agricoles,88000,9,Bien matériel,1.21,0
CSWA-00055,42,Homme,Urbaine,Célibataire,Primaire,2,Agriculture,4.6,71000,48000,106,1,48800,Régulière,2,91.5,1.0,0,0,1,Jamais emprunté ailleurs,0,0,Fonds de commerce,199000,9,Aval d'un tiers,1.03,0
CSWA-00056,21,Femme,Urbaine,Marié(e),Aucun,6,Restauration/Transformation,9.0,44000,23000,154,1,50400,Régulière,3,62.2,7.0,1,9,1,Jamais emprunté ailleurs,0,0,Santé,54000,6,Aucune,0.75,0
CSWA-00057,44,Femme,Urbaine,Marié(e),Primaire,0,Transport,4.1,390000,238000,1,0,43800,Régulière,3,81.6,4.0,1,4,0,Non consulté,0,0,Santé,2015000,6,Caution solidaire,1.57,0
CSWA-00058,26,Femme,Rurale,Marié(e),Primaire,1,Salarié secteur formel,2.5,127000,72000,125,0,61300,Régulière,2,87.3,1.0,1,8,1,Jamais emprunté ailleurs,0,0,Habitat/Réparation,415000,6,Aval d'un tiers,1.18,0
CSWA-00059,53,Homme,Semi-urbaine,Célibataire,Aucun,2,Artisanat,3.8,35000,13000,57,1,20000,Régulière,0,,,1,16,1,Jamais emprunté ailleurs,0,0,Fonds de commerce,76000,6,Bien matériel,0.78,0
CSWA-00060,51,Homme,Semi-urbaine,Divorcé(e),Aucun,5,Commerce informel,8.9,20000,14000,139,1,30200,Irrégulière,2,77.9,1.0,1,6,1,Jamais emprunté ailleurs,0,0,Habitat/Réparation,43000,9,Aucune,0.97,0
CSWA-00061,62,Femme,Rurale,Veuf(ve),Aucun,2,Artisanat,9.6,46000,21000,21,1,14200,Régulière,1,79.4,7.0,0,0,1,Bon payeur ailleurs (solde sans incident),0,0,Fonds de commerce,243000,6,Bien matériel,1.44,0
CSWA-00062,54,Homme,Rurale,Marié(e),Aucun,4,Commerce informel,7.9,86000,53000,87,1,37000,Régulière,0,,,0,0,0,Non consulté,0,0,Santé,376000,6,Caution solidaire,1.43,0
CSWA-00063,36,Femme,Urbaine,Célibataire,Secondaire,6,Agriculture,10.6,147000,57000,137,0,65900,Irrégulière,1,79.4,9.0,1,13,1,Jamais emprunté ailleurs,0,0,Intrants agricoles,726000,9,Caution solidaire,1.0,0
CSWA-00064,64,Homme,Rurale,Marié(e),Primaire,2,Artisanat,12.6,45000,34000,132,0,83400,Irrégulière,1,79.2,2.0,1,4,1,Bon payeur ailleurs (solde sans incident),0,0,Intrants agricoles,84000,18,Caution solidaire,0.87,0
CSWA-00065,38,Femme,Urbaine,Marié(e),Primaire,3,Commerce informel,16.8,154000,55000,133,1,292500,Aucune épargne,1,87.5,0.0,1,7,1,Jamais emprunté ailleurs,0,0,Santé,736000,6,Caution solidaire,1.25,0
CSWA-00066,34,Femme,Semi-urbaine,Veuf(ve),Primaire,2,Salarié secteur formel,8.2,197000,101000,166,1,384100,Régulière,2,89.7,8.0,1,14,1,Bon payeur ailleurs (solde sans incident),0,0,Elevage,851000,18,Caution solidaire,0.78,0
CSWA-00067,61,Femme,Rurale,Marié(e),Supérieur,3,Autre service,4.9,62000,34000,66,0,24600,Irrégulière,1,91.6,3.0,1,9,1,Pret en cours ailleurs,1,336000,Intrants agricoles,202000,3,Aucune,2.25,0
CSWA-00068,36,Femme,Urbaine,Divorcé(e),Secondaire,1,Commerce informel,2.0,89000,66000,128,1,166100,Régulière,0,,,1,8,1,Pret en cours ailleurs,1,266000,Intrants agricoles,482000,6,Aval d'un tiers,2.02,1
CSWA-00069,22,Homme,Urbaine,Marié(e),Secondaire,6,Commerce informel,2.4,176000,147000,147,1,230000,Irrégulière,1,86.1,1.0,1,14,1,Jamais emprunté ailleurs,0,0,Fonds de commerce,714000,18,Bien matériel,1.09,0
CSWA-00070,41,Femme,Urbaine,Marié(e),Secondaire,7,Elevage,3.2,83000,37000,168,1,49300,Aucune épargne,2,73.1,1.0,1,5,0,Non consulté,0,0,Santé,238000,24,Caution solidaire,0.58,0
CSWA-00071,56,Femme,Semi-urbaine,Marié(e),Secondaire,3,Commerce informel,9.9,44000,18000,40,0,21900,Régulière,0,,,1,12,1,Pret en cours ailleurs,1,261000,Fonds de commerce,141000,3,Aucune,2.14,0
CSWA-00072,27,Femme,Urbaine,Veuf(ve),Secondaire,1,Commerce informel,3.3,102000,67000,44,0,33200,Irrégulière,2,61.2,5.0,0,0,0,Non consulté,0,0,Fonds de commerce,211000,18,Caution solidaire,0.79,0
CSWA-00073,40,Homme,Urbaine,Marié(e),Primaire,5,Fonctionnaire,3.3,118000,54000,79,1,11000,Régulière,2,73.7,4.0,0,0,1,Jamais emprunté ailleurs,0,0,Santé,608000,12,Aucune,0.94,0
CSWA-00074,25,Femme,Urbaine,Célibataire,Primaire,2,Commerce informel,3.5,73000,26000,145,1,124300,Irrégulière,2,93.6,5.0,1,7,1,Pret en cours ailleurs,2,137000,Intrants agricoles,73000,9,Bien matériel,0.65,0
CSWA-00075,51,Homme,Semi-urbaine,Marié(e),Primaire,2,Commerce informel,5.3,142000,66000,159,0,277900,Irrégulière,1,87.5,3.0,1,14,1,Jamais emprunté ailleurs,0,0,Fonds de commerce,660000,6,Caution solidaire,1.33,1
CSWA-00076,41,Femme,Rurale,Célibataire,Primaire,1,Agriculture,6.4,23000,11000,96,0,28400,Aucune épargne,2,99.6,8.0,1,11,1,Jamais emprunté ailleurs,0,0,Santé,122000,9,Caution solidaire,1.14,0
CSWA-00077,34,Femme,Rurale,Marié(e),Aucun,2,Commerce informel,6.4,98000,61000,131,0,34900,Irrégulière,2,68.5,6.0,1,11,1,Bon payeur ailleurs (solde sans incident),0,0,Santé,305000,18,Bien matériel,0.82,0
CSWA-00078,29,Homme,Urbaine,Marié(e),Primaire,6,Transport,3.6,124000,71000,11,1,7200,Régulière,1,80.7,1.0,1,9,1,Bon payeur ailleurs (solde sans incident),0,0,Habitat/Réparation,279000,36,Caution solidaire,0.64,0
CSWA-00079,45,Homme,Urbaine,Célibataire,Primaire,3,Salarié secteur formel,9.5,106000,55000,136,1,172200,Régulière,0,,,1,3,1,Bon payeur ailleurs (solde sans incident),0,0,Education,395000,18,Caution solidaire,0.75,0
CSWA-00080,50,Homme,Semi-urbaine,Célibataire,Primaire,4,Agriculture,5.1,36000,18000,117,0,48500,Régulière,1,83.9,6.0,1,5,0,Non consulté,0,0,Habitat/Réparation,174000,3,Caution solidaire,2.31,0
CSWA-00081,63,Homme,Urbaine,Marié(e),Primaire,4,Commerce informel,8.7,140000,68000,60,0,111900,Irrégulière,2,94.2,9.0,1,7,1,Jamais emprunté ailleurs,0,0,Habitat/Réparation,507000,12,Caution solidaire,0.82,0
CSWA-00082,39,Homme,Urbaine,Marié(e),Aucun,4,Salarié secteur formel,5.5,146000,114000,113,0,138000,Aucune épargne,0,,,0,0,1,Jamais emprunté ailleurs,0,0,Santé,603000,6,Caution solidaire,1.55,0
CSWA-00083,26,Femme,Rurale,Marié(e),Primaire,3,Restauration/Transformation,3.5,171000,99000,171,0,143000,Irrégulière,1,61.1,18.0,1,9,1,Bon payeur ailleurs (solde sans incident),0,0,Intrants agricoles,434000,24,Caution solidaire,0.7,0
CSWA-00084,58,Homme,Urbaine,Divorcé(e),Primaire,4,Elevage,4.2,55000,43000,179,1,62600,Régulière,2,96.3,4.0,1,11,1,Incident de paiement signale ailleurs,0,0,Habitat/Réparation,95000,9,Caution solidaire,1.0,0
CSWA-00085,48,Femme,Urbaine,Célibataire,Secondaire,0,Agriculture,3.0,90000,76000,116,1,48500,Aucune épargne,1,83.6,0.0,1,7,1,Bon payeur ailleurs (solde sans incident),0,0,Education,327000,12,Caution solidaire,1.18,0
CSWA-00086,51,Homme,Semi-urbaine,Célibataire,Primaire,0,Elevage,1.8,97000,58000,117,0,110700,Aucune épargne,2,69.5,1.0,0,0,0,Non consulté,0,0,Equipement/Matériel,408000,9,Caution solidaire,1.12,0
CSWA-00087,23,Homme,Rurale,Célibataire,Aucun,1,Commerce informel,5.9,32000,26000,119,1,28900,Régulière,1,99.5,2.0,1,9,1,Pret en cours ailleurs,1,135000,Fonds de commerce,166000,12,Bien matériel,1.68,0
CSWA-00088,33,Homme,Urbaine,Célibataire,Aucun,3,Agriculture,2.7,88000,38000,24,1,18300,Irrégulière,1,96.8,4.0,1,6,1,Jamais emprunté ailleurs,0,0,Education,403000,9,Aucune,1.0,0
CSWA-00089,55,Femme,Urbaine,Marié(e),Primaire,2,Restauration/Transformation,2.2,87000,44000,63,0,55900,Régulière,1,37.2,2.0,1,4,1,Jamais emprunté ailleurs,0,0,Fonds de commerce,159000,3,Aval d'un tiers,1.19,0
CSWA-00090,58,Femme,Rurale,Marié(e),Aucun,2,Agriculture,8.5,122000,83000,179,0,83900,Aucune épargne,2,66.3,5.0,0,0,1,Jamais emprunté ailleurs,0,0,Equipement/Matériel,331000,3,Aval d'un tiers,1.69,0
CSWA-00091,39,Homme,Urbaine,Célibataire,Primaire,4,Restauration/Transformation,11.0,59000,28000,12,1,9500,Régulière,2,96.5,6.0,0,0,1,Pret en cours ailleurs,2,94000,Habitat/Réparation,188000,3,Bien matériel,1.81,0
CSWA-00092,56,Femme,Urbaine,Marié(e),Primaire,0,Restauration/Transformation,3.3,161000,104000,57,1,9400,Aucune épargne,3,89.3,1.0,1,7,1,Incident de paiement signale ailleurs,0,0,Fonds de commerce,768000,9,Bien matériel,1.24,0
CSWA-00093,58,Femme,Rurale,Marié(e),Supérieur,5,Restauration/Transformation,26.2,84000,67000,163,0,53700,Irrégulière,2,95.4,9.0,1,9,0,Non consulté,0,0,Elevage,187000,12,Bien matériel,1.01,0
CSWA-00094,37,Homme,Rurale,Célibataire,Secondaire,1,Artisanat,8.3,207000,173000,126,1,56300,Irrégulière,0,,,1,6,1,Jamais emprunté ailleurs,0,0,Equipement/Matériel,316000,9,Caution solidaire,1.03,1
CSWA-00095,61,Femme,Semi-urbaine,Veuf(ve),Aucun,4,Commerce informel,5.9,122000,75000,71,0,55100,Régulière,2,72.3,8.0,1,8,1,Bon payeur ailleurs (solde sans incident),0,0,Equipement/Matériel,657000,24,Caution solidaire,0.87,0
CSWA-00096,32,Homme,Urbaine,Célibataire,Primaire,3,Restauration/Transformation,1.3,94000,68000,108,0,144000,Irrégulière,0,,,1,9,1,Jamais emprunté ailleurs,0,0,Intrants agricoles,248000,18,Aucune,0.89,0
CSWA-00097,30,Homme,Urbaine,Marié(e),Secondaire,4,Transport,7.2,42000,27000,137,1,71700,Irrégulière,0,,,1,8,1,Jamais emprunté ailleurs,0,0,Habitat/Réparation,66000,12,Caution solidaire,0.79,0
CSWA-00098,51,Femme,Rurale,Divorcé(e),Aucun,5,Commerce informel,2.5,39000,22000,64,1,18900,Régulière,1,53.3,8.0,1,10,1,Pret en cours ailleurs,2,230000,Equipement/Matériel,208000,9,Caution solidaire,1.76,0
CSWA-00099,48,Homme,Rurale,Marié(e),Supérieur,1,Salarié secteur formel,2.8,207000,109000,167,0,215400,Irrégulière,1,77.8,1.0,1,14,1,Pret en cours ailleurs,1,440000,Habitat/Réparation,405000,12,Caution solidaire,0.9,0
CSWA-00100,25,Homme,Urbaine,Marié(e),Primaire,3,Fonctionnaire,7.6,199000,131000,74,0,13400,Aucune épargne,3,36.1,23.0,1,15,0,Non consulté,0,0,Intrants agricoles,479000,3,Caution solidaire,1.56,0
CSWA-00101,58,Femme,Rurale,Divorcé(e),Aucun,4,Restauration/Transformation,15.1,69000,36000,159,1,82600,Irrégulière,0,,,1,7,0,Non consulté,0,0,Evénement social,146000,6,Aucune,0.92,0
CSWA-00102,28,Homme,Urbaine,Célibataire,Aucun,0,Commerce informel,6.0,64000,46000,118,1,30700,Régulière,0,,,1,15,1,Pret en cours ailleurs,1,99000,Fonds de commerce,262000,24,Bien matériel,1.05,0
CSWA-00103,56,Femme,Semi-urbaine,Veuf(ve),Supérieur,4,Restauration/Transformation,9.4,91000,38000,9,0,1000,Irrégulière,1,89.4,4.0,1,11,1,Bon payeur ailleurs (solde sans incident),0,0,Habitat/Réparation,200000,6,Caution solidaire,0.83,0
CSWA-00104,19,Femme,Semi-urbaine,Célibataire,Supérieur,1,Agriculture,14.9,39000,28000,157,1,77900,Aucune épargne,1,99.1,4.0,0,0,1,Jamais emprunté ailleurs,0,0,Evénement social,80000,12,Bien matériel,0.91,1
CSWA-00105,56,Femme,Rurale,Célibataire,Secondaire,3,Agriculture,1.8,62000,38000,21,0,14200,Régulière,1,81.7,1.0,1,11,1,Jamais emprunté ailleurs,0,0,Education,125000,12,Caution solidaire,0.8,0
CSWA-00106,55,Femme,Semi-urbaine,Marié(e),Primaire,7,Commerce informel,7.7,113000,44000,171,1,272700,Régulière,1,98.4,7.0,1,3,1,Jamais emprunté ailleurs,0,0,Equipement/Matériel,525000,6,Caution solidaire,1.26,0
CSWA-00107,55,Femme,Semi-urbaine,Marié(e),Secondaire,4,Restauration/Transformation,11.2,122000,94000,3,1,7900,Régulière,3,90.6,3.0,1,10,1,Jamais emprunté ailleurs,0,0,Fonds de commerce,456000,6,Caution solidaire,1.47,0
CSWA-00108,50,Femme,Urbaine,Veuf(ve),Aucun,2,Artisanat,10.2,66000,41000,179,1,90000,Régulière,1,95.2,1.0,1,9,1,Jamais emprunté ailleurs,0,0,Intrants agricoles,294000,6,Aval d'un tiers,1.45,0
